"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1370269_at",7.09390013703703,6.67231039722222,30.8872736959005,9.24481908679522e-29,2.87504628780244e-24,39.1699818569264
"1387243_at",1.55940924074074,13.0706351805556,19.7424818719753,9.94496378910319e-22,1.5463921443866e-17,31.568416246672
"1370613_s_at",0.787144277777776,12.7175540694444,11.8266557935345,2.21114398842571e-14,2.2921455632017e-10,20.1021187407974
"1368990_at",1.46345707037037,5.60012138611111,8.73854837965437,1.13514460991373e-10,8.82546555592677e-07,13.2149876909118
"1387759_s_at",0.855201592592593,11.8847713611111,8.1948061159681,5.78374535230209e-10,3.59737393422485e-06,11.8408157143072
"1387811_at",-0.449123444444448,11.6988174722222,-7.06675478895738,1.87086029152579e-08,9.69698070102676e-05,8.85476839320276
"1367673_at",0.591638777777776,10.8471966944444,6.79883845926346,4.33966319907842e-08,0.000192798836897343,8.12279009401704
"1367856_at",1.22428428148148,8.96515428888889,6.64558313215499,7.03637018741017e-08,0.000273530095572836,7.70092064204279
"1387901_at",-0.508053388888889,8.65472104166667,-6.43067122017705,1.38849810626697e-07,0.000479787806742183,7.10595673470749
"1388122_at",0.849847677777776,8.76921024166667,6.10665219930654,3.88118959153879e-07,0.00120701115107265,6.20287191957909
